The Occupation title (click on the occupation title to view its profile),عنوان المهنة (انقر فوق عنوان المهنة لعرض ملفها الشخصي),ar_val
The Postal Service Clerk,كاتب الخدمة البريدية,m
The Postal Service Mail Carrier,شركة البريد لخدمة البريد,m
The Data Entry Keyer,مفتاح إدخال البيانات,m
The Desktop Publisher,الناشر المكتبي,m
The Statistical Assistant,المساعد الإحصائي,m
The Agricultural Worker,العامل الزراعي,m
The Agricultural Inspector,المفتش الزراعي,m
The Animal Breeder,مربي الحيوانات,m
The Miscellaneous Agricultural Worker,العامل الزراعي المتنوع,m
The Agricultural Equipment Operator,مشغل المعدات الزراعية,m
The Logging Worker,عامل التسجيل,m
The Faller,الساقط,m
The Logging Equipment Operator,مشغل معدات التسجيل,m
The Construction Trades Worker,عامل البناء,m
The Boilermaker,صانع الغلايات,m
The Stonemason,الحجارة,
The Carpenter,النجار,m
The Carpet Installer,عامل تركيب السجاد,m
The Construction Laborer,عامل البناء,m
The Construction Equipment Operator,مشغل معدات البناء,m
The Pile Driver Operator,مشغل كومة سائق,m
The Taper,تفتق,m
The Electrician,الكهربائي,m
The Glazier,الصقيل,m
The Insulation Worker,عامل العزل,m
The Paperhanger,المعلق الورقي,m
The Pipelayer,ماكينة وضع الأنابيب,
The Roofer,صاحب الأسقف,m
The Sheet Metal Worker,عامل الصفائح المعدنية,m
The Solar Photovoltaic Installer,مركب الطاقة الشمسية الكهروضوئية,m
The Helpers--Carpenter,المساعدون - نجار,m
The Helpers--Electrician,المساعدون - كهربائي,m
The Helpers--Roofer,المساعدون - الأسقف,m
The Fence Erector,نصب السياج,m
The Hazardous Materials Removal Worker,عامل إزالة المواد الخطرة,m
The Highway Maintenance Worker,عامل صيانة الطريق السريع,m
The Extraction Worker,عامل الاستخراج,m
The Underground Mining Machine Operator,مشغل آلة التعدين تحت الأرض,m
The Continuous Mining Machine Operator,مشغل آلة التعدين المستمر,m
The Helpers--Extraction Worker,المساعدون - عامل الاستخراج,m
The Avionics Technician,فني الكترونيات الطيران,m
The Rail Car Repairer,مصلح سيارات السكك الحديدية,m
The Small Engine Mechanic,ميكانيكي المحرك الصغير,m
The Motorcycle Mechanic,ميكانيكي الدراجات النارية,m
The Bicycle Repairer,مصلح الدراجات,m
The Recreational Vehicle Service Technician,فني خدمة المركبات الترفيهية,m
The Mechanical Door Repairer,مصلح الباب الميكانيكي,m
The Home Appliance Repairer,مصلح الأجهزة المنزلية,m
The Industrial Machinery Mechanic,ميكانيكي الآلات الصناعية,m
The Millwright,مطحنة,
The Medical Equipment Repairer,مصلح المعدات الطبية,m
The Wind Turbine Service Technician,فني خدمة توربينات الرياح,m
The Commercial Diver,الغواص التجاري,m
The Rigger,الحفار,m
The Production Occupation,مهنة الإنتاج,
The Food Processing Worker,عامل تجهيز الأغذية,m
The Baker,الخباز,m
The Miscellaneous Food Processing Worker,عامل تجهيز الأغذية المتنوعة,m
The Food Batchmaker,الغذاء باتشميكر,
The Machinist,الميكانيكي,m
The Printing Worker,عامل الطباعة,m
The Printing Press Operator,مشغل المطبعة,m
The Sewing Machine Operator,مشغل ماكينة الخياطة,m
The Upholsterer,المنجد,m
The Woodworker,النجار,m
The Furniture Finisher,تشطيب الأثاث,
The Nuclear Power Reactor Operator,مشغل مفاعل الطاقة النووية,m
The Power Plant Operator,مشغل محطة توليد الكهرباء,m
The Gas Plant Operator,مشغل محطة الغاز,m
The Other Production Occupation,مهنة الإنتاج الأخرى,m
The Cutting Worker,عامل القطع,m
The Dental Laboratory Technician,فني معمل الأسنان,m
The Medical Appliance Technician,فني الأجهزة الطبية,m
The Ophthalmic Laboratory Technician,فني معمل طب وجراحة العيون,m
The Painting Worker,عامل الرسم,m
The Semiconductor Processing Technician,فني معالجة أشباه الموصلات,m
The Computer Numerically Controlled Tool Operator,مشغل أداة يتم التحكم فيه عدديًا بالكمبيوتر,m
The Computer Numerically Controlled Tool Programmer,مبرمج الأدوات التي يتم التحكم فيها عدديًا بالكمبيوتر,m
The Miscellaneous Production Worker,عامل الإنتاج المتنوع,m
The Tire Builder,منشئ الإطارات,m
The Helpers--Production Worker,المساعدون - عامل الإنتاج,m
The Air Transportation Worker,عامل النقل الجوي,m
The Commercial Pilot,الطيار التجاري,m
The Air Traffic Controller,مراقب الحركة الجوية,m
The Airfield Operations Specialist,أخصائي عمليات المطارات,m
The Flight Attendant,المضيفة,f
The Motor Vehicle Operator,مشغل السيارة,m
The Driver/Sales Worker,السائق / عامل المبيعات,m
The Light Truck Driver,سائق الشاحنة الخفيفة,m
The Passenger Vehicle Driver,سائق مركبة الركاب,m
The Taxi Driver,سائق سيارة أجرة,m
The Rail Transportation Worker,عامل النقل بالسكك الحديدية,m
The Locomotive Engineer,مهندس القاطرة,m
The Water Transportation Worker,عامل نقل المياه,m
The Motorboat Operator,مشغل زورق آلي,m
The Ship Engineer,مهندس السفينة,m
The Other Transportation Worker,عامل النقل الآخر,m
The Parking Attendant,المصاحبة,f
The Transportation Service Attendant,عامل خدمة النقل,m
The Aircraft Service Attendant,مضيف خدمة الطائرات,m
The Traffic Technician,فني المرور,m
The Transportation Inspector,مفتش النقل,m
The Passenger Attendant,مرافق الراكب,m
The Material Moving Worker,عامل نقل المواد,m
The Dredge Operator,مشغل نعرات,m
The Pumping Station Operator,مشغل محطة الضخ,m
The Wellhead Pumper,مضخة رأس البئر,
