The Occupation title (click on the occupation title to view its profile),عنوان المهنة (انقر على عنوان المهنة لعرض ملف التعريف الخاص بها),ar_val
The Forester,ذا فوريستر,
The Medical Scientist,ذا ميديكال ساينتست,
The Epidemiologist,عالم الأوبئة,m
The Physical Scientist,ذا فيزيكال ساينتست,
The Astronomer,ذا استرومينت,
The Physicist,ذا فيسيست,
The Chemist,ذا كيميست,
The Materials Scientist,عالم المواد,m
The Hydrologist,عالم الهيدرولوجيا,m
The Economist,ذي إيكونومست,
The Survey Researcher,باحث المسح,m
The Psychologist,عالم النفس,m
The Industrial-Organizational Psychologist,عالم النفس الصناعي والتنظيمي,m
The School Psychologist,عالم النفس المدرسي,m
The Sociologist,عالم الاجتماع,m
The Geographer,ذا جيوغرافيك,
The Historian,المؤرخ,m
The Political Scientist,عالم السياسة,m
The Agricultural Technician,الفني الزراعي,m
The Food Science Technician,فني علوم الغذاء,m
The Biological Technician,فني بيولوجي,m
The Chemical Technician,فني كيميائي,m
The Hydrologic Technician,فني الهيدرولوجيا,m
The Nuclear Technician,فني الطاقة النووية,m
The Social Science Research Assistant,مساعد أبحاث العلوم الاجتماعية,m
The Forensic Science Technician,فني علوم الطب الشرعي,m
The Counselor,المستشار,m
The Rehabilitation Counselor,مستشار إعادة التأهيل,m
The Social Worker,الأخصائي الاجتماعي,m
The Healthcare Social Worker,الأخصائي الاجتماعي للرعاية الصحية,m
The Health Education Specialist,أخصائي التثقيف الصحي,m
The Community Health Worker,عامل صحة المجتمع,m
The Religious Worker,العامل الديني,m
The Clergy,ذا كليروس,
The Legal Occupation,الاحتلال القانوني,
The Lawyer,المحامي,m
The Judicial Law Clerk,كاتب القانون القضائي,m
The Legal Support Worker,عامل الدعم القانوني,m
The Miscellaneous Legal Support Worker,عامل الدعم القانوني المتنوع,m
The Postsecondary Teacher,معلم ما بعد المرحلة الثانوية,m
The Miscellaneous Postsecondary Teacher,مدرس ما بعد المرحلة الثانوية المتنوع,m
The Secondary School Teacher,معلم المدرسة الثانوية,m
The Special Education Teacher,معلم التربية الخاصة,m
The Self-Enrichment Teacher,معلم الإثراء الذاتي,m
The Tutor,ذا توتور,
The Archivist,موظف الأرشيف,m
The Curator,ذا كيوريتور,
The Library Technician,فني المكتبة,m
The Instructional Coordinator,المنسق التعليمي,m
The Teaching Assistant,مساعد التدريس,m
The Art Director,المدير الفني,m
The Craft Artist,ذا كرافت أرتيست,
The Designer,ذا ديزاينر,
The Fashion Designer,مصمم الأزياء,m
The Floral Designer,مصمم الأزهار,m
The Graphic Designer,مصمم الجرافيك,m
The Interior Designer,المصمم الداخلي,m
The Actor,ذا فاكتور,
The Dancer,ذا دانسر,
The Choreographer,مصمم رقصات,m
The Public Relations Specialist,أخصائي العلاقات العامة,m
The Editor,المحرر,m
The Technical Writer,الكاتب التقني,m
The Broadcast Technician,فني البث,m
The Sound Engineering Technician,فني هندسة الصوت,m
The Lighting Technician,فني الإضاءة,m
The Photographer,ذا فوتوغرافي,
The Healthcare Diagnosing or Treating Practitioner,ممارس تشخيص أو علاج الرعاية الصحية,m
The Chiropractor,المعالج بتقويم العمود الفقري,m
The Dentist,طبيب الأسنان,m
The Orthodontist,أخصائي تقويم الأسنان,m
The Prosthodontist,أخصائي التعويضات السنية,m
The Optometrist,طبيب العيون,m
The Pharmacist,الصيدلي,m
The Physician Assistant,مساعد الطبيب,m
The Podiatrist,طبيب الأقدام,m
The Therapist,المعالج,m
The Occupational Therapist,المعالج المهني,m
The Physical Therapist,المعالج الفيزيائي,m
The Radiation Therapist,المعالج الإشعاعي,m
The Recreational Therapist,المعالج الترفيهي,m
The Respiratory Therapist,معالج الجهاز التنفسي,m
The Speech-Language Pathologist,أخصائي أمراض النطق واللغة,m
The Exercise Physiologist,أخصائي فيزيولوجيا التمارين,m
The Veterinarian,الطبيب البيطري,m
The Registered Nurse,الممرضة المسجلة,f
The Nurse Anesthetist,ممرضة التخدير,f
The Nurse Midwive,القابلة الممرضة,f
The Nurse Practitioner,الممرضة الممارس,f
The Audiologist,أخصائي السمعيات,m
The Physician,ذا فيسيشيين,
The Anesthesiologist,طبيب التخدير,m
The Cardiologist,طبيب القلب,m
The Dermatologist,طبيب الأمراض الجلدية,m
The Emergency Medicine Physician,طبيب طب الطوارئ,m
The Family Medicine Physician,طبيب طب الأسرة,m
The General Internal Medicine Physician,طبيب الطب الباطني العام,m
The Neurologist,طبيب الأعصاب,m
The Psychiatrist,الطبيب النفسي,m
The Radiologist,أخصائي الأشعة,m
The Surgeon,ذا سيرجيون,
The Pediatric Surgeon,جراح الأطفال,m
The Miscellaneous Healthcare Diagnosing or Treating Practitioner,ممارس تشخيص أو علاج الرعاية الصحية المتنوعة,m
The Acupuncturist,أخصائي الوخز بالإبر,m
The Dental Hygienist,أخصائي صحة الأسنان,m
The Diagnostic Medical Sonographer,أخصائي الموجات فوق الصوتية الطبية التشخيصية,m
The Nuclear Medicine Technologist,تقني الطب النووي,m
The Magnetic Resonance Imaging Technologist,تقني التصوير بالرنين المغناطيسي,m
The Medical Dosimetrist,أخصائي قياس الجرعات الطبية,m
The Emergency Medical Technician,فني طب الطوارئ,m
The Paramedic,المسعف,m
The Dietetic Technician,فني التغذية,m
The Pharmacy Technician,فني الصيدلة,m
The Psychiatric Technician,فني الطب النفسي,m
The Surgical Technologist,تقني الجراحة,m
The Ophthalmic Medical Technician,فني طب العيون,m
The Medical Records Specialist,أخصائي السجلات الطبية,m
The Hearing Aid Specialist,أخصائي السمع,m
The Athletic Trainer,المدرب الرياضي,m
The Genetic Counselor,المستشار الجيني,m
The Surgical Assistant,المساعد الجراحي,m
The Healthcare Support Occupation,مهنة دعم الرعاية الصحية,
The Nursing Assistant,مساعد التمريض,m
The Orderlie,ذا أوردرلي,
The Psychiatric Aide,مساعد الطب النفسي,m
The Occupational Therapy Assistant,مساعد العلاج المهني,m
The Occupational Therapy Aide,مساعد العلاج المهني,m
The Physical Therapist Assistant,مساعد المعالج الفيزيائي
The Physical Therapist Aide,مساعد المعالج الفيزيائي,m
The Other Healthcare Support Occupation,مهنة دعم الرعاية الصحية الأخرى,
The Massage Therapist,معالج التدليك,m
The Miscellaneous Healthcare Support Occupation,مهنة دعم الرعاية الصحية المتنوعة,
The Dental Assistant,مساعد طب الأسنان,m
The Medical Assistant,المساعد الطبي,m
The Medical Equipment Preparer,مُعد المعدات الطبية,m
The Medical Transcriptionist,الناسخ الطبي,m
The Pharmacy Aide,مساعد الصيدلة,m
The Phlebotomist,ذا فليبوتوميست,
The Protective Service Occupation,مهنة خدمة الحماية,
The Supervisors of Protective Service Worker,المشرفون على عامل خدمة الحماية,m
The First-Line Supervisors of Law Enforcement Worker,مشرفو الخط الأول للعاملين في مجال إنفاذ القانون,m
The First-Line Supervisors of Correctional Officer,مشرفو الخط الأول للضابط الإصلاحي,m
The First-Line Supervisors of Security Worker,مشرفو الخط الأول لعامل الأمن,m
The Firefighter,رجل الإطفاء,m
The Fire Inspector,مفتش الحريق,m
The Law Enforcement Worker,عامل إنفاذ القانون,m
The Bailiff,ذا بيليف,
The Parking Enforcement Worker,عامل إنفاذ مواقف السيارات,m
The Police Officer,ضابط الشرطة,m
The Other Protective Service Worker,عامل خدمة الحماية الآخر,m
The Animal Control Worker,عامل مراقبة الحيوانات,m
The Security Guard,ذا سيكيورتي جارد,
The Miscellaneous Protective Service Worker,عامل خدمة الحماية المتنوعة,m
The Transportation Security Screener,فاحص أمن النقل,m
The School Bus Monitor,مراقب الحافلات المدرسية,m
The Cook,ذا كوك,
The Food Preparation Worker,عامل إعداد الطعام,m
The Bartender,ذا بارتنر,
The Dishwasher,غسالة الصحون,f
The Building Cleaning Worker,عامل تنظيف المبنى,m
The Pest Control Worker,عامل مكافحة الآفات,m
The Grounds Maintenance Worker,عامل صيانة الأراضي,m
The First-Line Supervisors of Gambling Services Worker,مشرفو الخط الأول لعمال خدمات المقامرة,m
The First-Line Supervisors of Personal Service Worker,مشرفو الخط الأول لعامل الخدمة الشخصية,m
The Animal Trainer,مدرب الحيوانات,m
The Animal Caretaker,راعي الحيوانات,m
The Gambling Services Worker,عامل خدمات المقامرة,m
The Gambling Dealer,تاجر القمار,m
The Motion Picture Projectionist,أخصائي عرض الصور المتحركة,m
The Costume Attendant,ذا كوستيوم أيجنت,
The Funeral Service Worker,عامل خدمة الجنازة,m
The Embalmer,ذا إمبلمر,
The Crematory Operator,مشغل محرقة الجثث,m
The Funeral Attendant,المصاحبة الجنائزية,f
The Personal Appearance Worker,عامل المظهر الشخصي,m
The Barber,ذا باربر,
The Miscellaneous Personal Appearance Worker,عامل المظهر الشخصي المتنوع,m
The Shampooer,ذا شامبوور,
The Skincare Specialist,أخصائي العناية بالبشرة,m
The Concierge,ذا كونسييرج,
The Childcare Worker,عامل رعاية الأطفال,m
The Recreation Worker,عامل الترفيه,m
The Residential Advisor,المستشار السكني,m
The First-Line Supervisors of Sales Worker,مشرفو الخط الأول لعامل المبيعات,m
The First-Line Supervisors of Retail Sales Worker,مشرفو الخط الأول لعامل مبيعات التجزئة,m
The First-Line Supervisors of Non-Retail Sales Worker,مشرفو الخط الأول لعمال المبيعات غير بالتجزئة,m
The Retail Sales Worker,عامل مبيعات التجزئة,m
The Cashier,ذا كاشير,
The Cashier,ذا كاشير,
The Parts Salesperson,مندوب مبيعات قطع الغيار,m
The Retail Salesperson,مندوب مبيعات التجزئة,m
The Advertising Sales Agent,وكيل مبيعات الإعلانات,m
The Insurance Sales Agent,وكيل مبيعات التأمين,m
The Travel Agent,وكيل السفر,m
The Model,النموذج,m
The Real Estate Broker,الوسيط العقاري,m
The Real Estate Sales Agent,وكيل مبيعات العقارات,m
The Sales Engineer,مهندس المبيعات,m
The Telemarketer,المسوق عبر الهاتف,m
The Communications Equipment Operator,مشغل معدات الاتصالات,m
The Telephone Operator,مشغل الهاتف,m
The Financial Clerk,الكاتب المالي,m
The Gambling Cage Worker,عامل قفص القمار,m
The Procurement Clerk,كاتب المشتريات,m
The Teller,ذا تيلير,
The Brokerage Clerk,كاتب الوساطة,m
The Correspondence Clerk,كاتب المراسلات,m
The Customer Service Representative,ممثل خدمة العملاء,m
The File Clerk,كاتب الملفات,m
The New Accounts Clerk,كاتب الحسابات الجديد,m
The Order Clerk,ذا أوردر كليرك,
The Dispatcher,المرسل,m
The Public Safety Telecommunicator,مسؤول السلامة العامة,m
The Postal Service Worker,عامل الخدمة البريدية,m
The Postal Service Clerk,كاتب الخدمة البريدية,m
The Postal Service Mail Carrier,ناقل بريد الخدمة البريدية,m
The Data Entry Keyer,مفتاح إدخال البيانات,m
The Desktop Publisher,ناشر سطح المكتب,m
The Statistical Assistant,المساعد الإحصائي,m
The Agricultural Worker,العامل الزراعي,m
The Agricultural Inspector,المفتش الزراعي,m
The Animal Breeder,مربي الحيوانات,m
The Miscellaneous Agricultural Worker,العامل الزراعي المتنوع,m
The Agricultural Equipment Operator,مشغل المعدات الزراعية,m
The Logging Worker,عامل التسجيل,m
The Faller,ذا فالر,
The Logging Equipment Operator,مشغل معدات التسجيل,m
The Construction Trades Worker,عامل تجارة البناء,m
The Boilermaker,ذا بويلرميكر,
The Stonemason,ذا ستونماسون,
The Carpenter,ذا كاربنتر,
The Carpet Installer,مُثبّت السجاد,m
The Construction Laborer,عامل البناء,m
The Construction Equipment Operator,مشغل معدات البناء,m
The Pile Driver Operator,مشغل ذا بايل درايفر,
The Taper,ذا تفتق,
The Electrician,ذي إلكهربائي,
The Glazier,ذا غلازير,
The Insulation Worker,عامل العزل,m
The Paperhanger,ذا بيبر هانجر,
The Pipelayer,ذا بيبلاير,
The Roofer,ذا روفير,
The Sheet Metal Worker,عامل الصفائح المعدنية,m
The Solar Photovoltaic Installer,مُركب الطاقة الشمسية الكهروضوئية,m
The Helpers--Carpenter,المساعدون - كاربنتر,
The Helpers--Electrician,المساعدون - كهربائي,m
The Helpers--Roofer,ذا هيلبرز - روفر,
The Fence Erector,ذا فنس ريكتور,
The Hazardous Materials Removal Worker,عامل إزالة المواد الخطرة,m
The Highway Maintenance Worker,عامل صيانة الطرق السريعة,m
The Extraction Worker,عامل الاستخراج,m
The Underground Mining Machine Operator,مشغل آلة التعدين تحت الأرض,m
The Continuous Mining Machine Operator,مشغل آلة التعدين المستمر,m
The Helpers--Extraction Worker,المساعدون - عامل الاستخراج,m
The Avionics Technician,فني إلكترونيات الطيران,m
The Rail Car Repairer,مصلح سيارات السكك الحديدية,m
The Small Engine Mechanic,ميكانيكي المحركات الصغيرة,m
The Motorcycle Mechanic,ميكانيكي الدراجات النارية,m
The Bicycle Repairer,مصلح الدراجات,m
The Recreational Vehicle Service Technician,فني خدمة المركبات الترفيهية,m
The Mechanical Door Repairer,مصلح الأبواب الميكانيكية,m
The Home Appliance Repairer,مصلح الأجهزة المنزلية,m
The Industrial Machinery Mechanic,ميكانيكي الآلات الصناعية,m
The Millwright,ذا ميلرايت,
The Medical Equipment Repairer,مصلح المعدات الطبية,m
The Wind Turbine Service Technician,فني خدمة توربينات الرياح,m
The Commercial Diver,ذا كوميرشال دايفر,
The Rigger,ذا ريجر,
The Production Occupation,مهنة الإنتاج,
The Food Processing Worker,عامل تجهيز الأغذية,m
The Baker,ذا بيكر,
The Miscellaneous Food Processing Worker,عامل تجهيز الأغذية المتنوعة,m
The Food Batchmaker,ذا فود باتشميكر,
The Machinist,ذا ماشينيست,
The Printing Worker,ذا برينتينج ووركر,
The Printing Press Operator,مشغل المطبعة,m
The Sewing Machine Operator,مشغل ماكينة الخياطة,m
The Upholsterer,ذا أوبولستر,
The Woodworker,ذا وودووركر,
The Furniture Finisher,ذا فيرنتشر فاينشر,
The Nuclear Power Reactor Operator,مشغل مفاعل الطاقة النووية,m
The Power Plant Operator,مشغل محطة الطاقة,m
The Gas Plant Operator,مشغل محطة الغاز,m
The Other Production Occupation,مهنة الإنتاج الأخرى,
The Cutting Worker,عامل القطع,m
The Dental Laboratory Technician,فني مختبر الأسنان,m
The Medical Appliance Technician,فني الأجهزة الطبية,m
The Ophthalmic Laboratory Technician,فني مختبر العيون,m
The Painting Worker,عامل الرسم,m
The Semiconductor Processing Technician,فني معالجة أشباه الموصلات,m
The Computer Numerically Controlled Tool Operator,مشغل أداة الكمبيوتر التي يتم التحكم فيها رقميًا,m
The Computer Numerically Controlled Tool Programmer,مبرمج أدوات الكمبيوتر التي يتم التحكم فيها رقميًا,m
The Miscellaneous Production Worker,عامل الإنتاج المتنوع,m
The Tire Builder,ذا تاير بيلدر,
The Helpers--Production Worker,المساعدون - عامل الإنتاج,m
The Air Transportation Worker,عامل النقل الجوي,m
The Commercial Pilot,الطيار التجاري,m
The Air Traffic Controller,مراقب الحركة الجوية,m
The Airfield Operations Specialist,أخصائي عمليات المطارات,m
The Flight Attendant,مضيفة الطيران,f
The Motor Vehicle Operator,مشغل السيارة,m
The Driver/Sales Worker,السائق/عامل المبيعات,m
The Light Truck Driver,سائق الشاحنة الخفيفة,m
The Passenger Vehicle Driver,سائق سيارة الركاب,m
The Taxi Driver,سائق التاكسي,m
The Rail Transportation Worker,عامل النقل بالسكك الحديدية,m
The Locomotive Engineer,مهندس القاطرة,m
The Water Transportation Worker,عامل النقل المائي,m
The Motorboat Operator,مشغل الزورق,m
The Ship Engineer,مهندس السفينة,m
The Other Transportation Worker,عامل النقل الآخر,m
The Parking Attendant,عامل وقوف السيارات,m
The Transportation Service Attendant,مضيف خدمة النقل,m
The Aircraft Service Attendant,مضيف خدمة الطائرات,m
The Traffic Technician,فني المرور,m
The Transportation Inspector,مفتش النقل,m
The Passenger Attendant,مضيفة الركاب,f
The Material Moving Worker,عامل نقل المواد,m
The Dredge Operator,مشغل الجرافة,m
The Pumping Station Operator,مشغل محطة الضخ,m
The Wellhead Pumper,مضخة رأس البئر,
